time,lon,lat,depth,mag
2022-12-05T18:17:57.945000Z,-69.2813,-31.3604,114.679,4.6
2022-12-04T21:04:24.116000Z,-66.6209,-27.9287,168.403,5.1
2022-12-04T16:34:39.079000Z,-66.8694,-23.4729,214.88,4.2
2022-12-03T19:24:06.064000Z,-63.202,-28.2964,574.357,4.3
2022-12-03T19:14:15.814000Z,-70.4635,-32.3215,107.876,4.2
2022-12-03T11:45:29.201000Z,-69.4939,-17.7438,159.018,4.8
2022-12-03T10:39:06.891000Z,-71.7717,-32.8415,26.686,4.4
2022-12-03T04:19:25.893000Z,-71.2053,-31.5194,69.382,4.5
2022-12-03T00:41:01.260000Z,-67.2828,-24.0159,196.464,4.3
2022-12-02T17:45:07.335000Z,-68.651,-21.5124,150.894,4.4
2022-12-02T17:25:43.225000Z,-71.9239,-32.4793,28.344,3.9
2022-12-02T13:40:07.850000Z,-68.8605,-20.621,111.888,4.5
2022-12-01T13:59:21.992000Z,-68.6909,-22.8866,111.37,4.3
2022-12-01T01:59:18.593000Z,-71.1718,-28.8136,35.0,4.3
2022-11-30T12:27:10.293000Z,-71.4465,-28.0609,29.394,4.2
2022-11-30T00:35:32.533000Z,-68.3626,-21.6861,145.396,4.5
2022-11-29T06:52:15.957000Z,-67.0484,-24.0283,240.063,4.2
2022-11-29T04:32:28.384000Z,-68.8572,-23.0393,93.689,4.2
2022-11-28T23:49:06.258000Z,-72.6144,-33.6653,10.081,4.6
2022-11-28T23:11:43.362000Z,-68.4101,-21.7844,119.908,4.5
2022-11-28T10:39:08.327000Z,-68.4698,-21.1637,153.554,4.6
2022-11-28T05:25:01.879000Z,-67.0806,-24.104,215.77,4.2
2022-11-27T15:29:38.281000Z,-71.8408,-34.692,43.754,4.2
2022-11-27T04:08:46.825000Z,-67.0683,-24.3097,176.653,4.2
2022-11-27T00:00:52.905000Z,-70.6427,-29.3849,82.975,4.1
2022-11-26T20:38:40.167000Z,-75.0685,-37.7905,10.0,4.2
2022-11-26T15:11:25.509000Z,-68.9269,-24.6522,126.066,4.1
2022-11-26T09:40:28.920000Z,-69.1152,-22.4384,118.967,4.6
2022-11-25T16:10:18.133000Z,-80.1452,-5.9708,106.264,4.2
2022-11-25T02:22:33.388000Z,-66.2151,-22.8148,262.806,4.3
2022-11-25T01:55:48.495000Z,-69.438,-25.5646,107.383,4.4
2022-11-24T19:36:48.776000Z,-80.5615,-1.1651,32.919,4.5
2022-11-24T16:22:23.443000Z,-73.7071,-16.031,57.035,4.9
2022-11-23T20:02:45.664000Z,-79.0822,-9.0361,71.917,4.8
2022-11-23T09:21:55.094000Z,-63.7412,-21.9129,528.278,4.4
